2018-08-15 18:36:06.6393 ERROR                   11|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-15 18:36:37.6390 ERROR                   11|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-15 18:36:59.9358 ERROR                   11|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-15 18:37:21.6857 ERROR                   11|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-15 18:37:42.9981 ERROR                   11|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
2018-08-15 18:56:06.6787 ERROR                   11|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-15 18:56:36.3973 ERROR                   11|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-15 18:56:58.8659 ERROR                   11|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-15 18:57:23.9595 ERROR                   11|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-15 18:57:45.2093 ERROR                   11|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
2018-08-15 19:10:17.3454 ERROR                   29|          AuthenticateStep | AuthenticationFailed | [172.18.15.10][1000000000000196] User authentication failed. 
2018-08-15 19:10:17.3454 DEBUG    NetMQPollerThread|               NetMQSocket |         InvokeEvents | Sending: 'REQUEST.v1,RR-00-FD-1F-79-65:252465,UserAccessService.registerLogin,{"schema":{"terminalId":"String","terminalVersion":"String","loginStatus":"LoginStatus","loginCredential":"LoginCredentials","loginTime":"DateTime"},"body":{"terminalId":1000000000000196,"terminalVersion":"KM-5.0.33.3","username":null,"loginStatus":"ERROR_INVALID_CREDENTIALS","loginCredential":{"card":null,"pin":"*","username":null},"loginTime":"2018-08-15T19:10:17.3454390+03:00"}}' 
2018-08-15 19:10:17.4234 ERROR                   29|      AuthenticationCommon |         Authenticate | [172.18.15.10][1000000000000196] User authentication failed. 
2018-08-15 19:16:06.6244 ERROR                   67|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-15 19:16:35.8117 ERROR                   67|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-15 19:17:01.1085 ERROR                   67|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-15 19:17:25.8740 ERROR                   67|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-15 19:17:47.1118 ERROR                   67|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
